M, K, N, TX, TY, BM, BK, BN, AX, AY, BX, BY, GFLOPS
4096, 128, 1024, 16, 8, 64, 8, 32, 32, 4, 8, 16, 314.86
4096, 128, 1024, 16, 8, 64, 8, 48, 32, 4, 8, 16, 392.95
4096, 128, 1024, 16, 8, 64, 8, 64, 32, 4, 8, 16, 468.69
4096, 128, 1024, 16, 8, 64, 8, 80, 32, 4, 8, 16, 506.96
4096, 128, 1024, 16, 8, 64, 16, 32, 32, 4, 8, 16, 317.18
4096, 128, 1024, 16, 8, 64, 16, 48, 32, 4, 8, 16, 390.79
4096, 128, 1024, 16, 8, 64, 16, 64, 32, 4, 8, 16, 467.88
4096, 128, 1024, 16, 8, 64, 16, 80, 32, 4, 8, 16, 503.30
4096, 128, 1024, 16, 8, 64, 24, 32, 32, 4, 8, 16, 292.66
4096, 128, 1024, 16, 8, 64, 24, 48, 32, 4, 8, 16, 344.20
4096, 128, 1024, 16, 8, 64, 24, 64, 32, 4, 8, 16, 439.04
4096, 128, 1024, 16, 8, 64, 24, 80, 32, 4, 8, 16, 455.88
4096, 128, 1024, 16, 8, 64, 32, 32, 32, 4, 8, 16, 312.95
4096, 128, 1024, 16, 8, 64, 32, 48, 32, 4, 8, 16, 384.10
4096, 128, 1024, 16, 8, 64, 32, 64, 32, 4, 8, 16, 416.23
4096, 128, 1024, 16, 8, 64, 32, 80, 32, 4, 8, 16, 443.84
4096, 128, 1024, 16, 8, 96, 8, 32, 32, 4, 8, 16, 313.49
4096, 128, 1024, 16, 8, 96, 8, 48, 32, 4, 8, 16, 388.37
4096, 128, 1024, 16, 8, 96, 8, 64, 32, 4, 8, 16, 463.98
4096, 128, 1024, 16, 8, 96, 8, 80, 32, 4, 8, 16, 497.79
4096, 128, 1024, 16, 8, 96, 16, 32, 32, 4, 8, 16, 313.44
4096, 128, 1024, 16, 8, 96, 16, 48, 32, 4, 8, 16, 386.48
4096, 128, 1024, 16, 8, 96, 16, 64, 32, 4, 8, 16, 458.34
4096, 128, 1024, 16, 8, 96, 16, 80, 32, 4, 8, 16, 495.55
4096, 128, 1024, 16, 8, 96, 24, 32, 32, 4, 8, 16, 288.26
4096, 128, 1024, 16, 8, 96, 24, 48, 32, 4, 8, 16, 360.56
4096, 128, 1024, 16, 8, 96, 24, 64, 32, 4, 8, 16, 433.30
4096, 128, 1024, 16, 8, 96, 24, 80, 32, 4, 8, 16, 449.10
4096, 128, 1024, 16, 8, 96, 32, 32, 32, 4, 8, 16, 311.90
4096, 128, 1024, 16, 8, 96, 32, 48, 32, 4, 8, 16, 382.48
4096, 128, 1024, 16, 8, 96, 32, 64, 32, 4, 8, 16, 449.63
4096, 128, 1024, 16, 8, 96, 32, 80, 32, 4, 8, 16, 354.33
4096, 128, 1024, 16, 8, 128, 8, 32, 32, 4, 8, 16, 319.81
4096, 128, 1024, 16, 8, 128, 8, 48, 32, 4, 8, 16, 392.08
4096, 128, 1024, 16, 8, 128, 8, 64, 32, 4, 8, 16, 465.01
4096, 128, 1024, 16, 8, 128, 8, 80, 32, 4, 8, 16, 505.83
4096, 128, 1024, 16, 8, 128, 16, 32, 32, 4, 8, 16, 316.49
4096, 128, 1024, 16, 8, 128, 16, 48, 32, 4, 8, 16, 391.78
4096, 128, 1024, 16, 8, 128, 16, 64, 32, 4, 8, 16, 464.86
4096, 128, 1024, 16, 8, 128, 16, 80, 32, 4, 8, 16, 495.90
4096, 128, 1024, 16, 8, 128, 24, 32, 32, 4, 8, 16, 292.49
4096, 128, 1024, 16, 8, 128, 24, 48, 32, 4, 8, 16, 362.21
4096, 128, 1024, 16, 8, 128, 24, 64, 32, 4, 8, 16, 430.30
4096, 128, 1024, 16, 8, 128, 24, 80, 32, 4, 8, 16, 309.70
4096, 128, 1024, 16, 8, 128, 32, 32, 32, 4, 8, 16, 302.61
4096, 128, 1024, 16, 8, 128, 32, 48, 32, 4, 8, 16, 329.56
4096, 128, 1024, 16, 8, 128, 32, 64, 32, 4, 8, 16, 285.38
4096, 128, 1024, 16, 8, 128, 32, 80, 32, 4, 8, 16, 243.67
